Bed code,Set date,Station number,Haul number,Samplers initials,SizeClass,Species code,Basket ID,Total number,Total weight (kg),Species name
WK1,2016-4-18,K32,17,JM,,66031,,1,0.005,Pink shrimp
EK1,2016-4-18,K07,18,JM,1,74120,,15,4.820,Weathervane scallop
EK1,2016-4-18,K07,18,JM,,99997,,,27.840,Unsorted catch and debris
EK1,2016-4-18,K07,18,JM,,68560,SF,1,0.004,Tanner crab
EK1,2016-4-18,K07,18,JM,,99997,,,2.700,Unsorted catch and debris
EK1,2016-4-18,K07,18,JM,,10200,,1,0.010,Rex sole
EK1,2016-4-18,K07,18,JM,3,74120,,,2.840,Empty shells
EK1,2016-4-18,K07,18,JM,3,74120,,,0.190,Empty shells
EK1,2016-4-18,L07,19,JM,2,74120,,1,0.100,Weathervane scallop
EK1,2016-4-18,L07,19,JM,1,74120,,15,3.720,Weathervane scallop
EK1,2016-4-18,L07,19,JM,3,74120,,,2.020,Empty shells
EK1,2016-4-18,L07,19,JM,,99997,,,16.280,Unsorted catch and debris
EK1,2016-4-18,L07,19,JM,,80160,,1,0.700,Sunflower sea star
EK1,2016-4-18,L07,19,JM,,68560,SF,8,0.030,Tanner crab
EK1,2016-4-18,L07,19,JM,,99997,,,23.800,Unsorted catch and debris
EK1,2016-4-18,L07,19,JM,,99997,,,21.540,Unsorted catch and debris
EK1,2016-4-18,L07,19,JM,,99997,,,11.100,Unsorted catch and debris
EK1,2016-4-18,L07,19,JM,,99997,,,0.180,Unsorted catch and debris
EK1,2016-4-18,L07,19,JM,,421,,2,0.420,Big skate egg case
EK1,2016-4-18,K10,20,JM,1,74120,Q,8,2.020,Weathervane scallop
EK1,2016-4-18,K10,20,JM,3,74120,,,0.790,Empty shells
EK1,2016-4-18,K10,20,JM,3,74120,,2,0.290,Clapper
EK1,2016-4-18,K10,20,JM,3,7120,,,0.790,Empty shells
EK1,2016-4-18,K10,20,JM,,99997,,,20.720,Unsorted catch and debris
EK1,2016-4-18,K10,20,JM,,68560,SF,3,0.005,Tanner crab
EK1,2016-4-18,K10,20,JM,,99997,,,9.580,Unsorted catch and debris
EK1,2016-4-18,K10,20,JM,,99997,,,18.140,Unsorted catch and debris
EK1,2016-4-18,K10,20,JM,,99997,,,12.760,Unsorted catch and debris
EK1,2016-4-18,K10,20,JM,,99997,,,11.120,Unsorted catch and debris
EK1,2016-4-18,J08,21,JM,2,74120,,1,0.930,Weathervane scallop
EK1,2016-4-18,J08,21,JM,1,74120,,6,1.470,Weathervane scallop
EK1,2016-4-18,J08,21,JM,,99997,,,25.350,Unsorted catch and debris
EK1,2016-4-18,J08,21,JM,,68560,SF,4,0.010,Tanner crab
EK1,2016-4-18,J08,21,JM,,99997,,,18.400,Unsorted catch and debris
EK1,2016-4-18,J08,21,JM,,99997,,,10.440,Unsorted catch and debris
EK1,2016-4-18,J08,21,JM,,99997,,,37.220,Unsorted catch and debris
EK1,2016-4-18,J08,21,JM,3,74120,,1,0.110,Clapper
EK1,2016-4-18,J08,21,JM,3,74120,,,2.900,Empty shells
EK1,2016-4-19,K04,22,JM,1,74120,,18,4.280,Weathervane scallop
EK1,2016-4-19,K04,22,JM,1,74120,,1,0.160,Weathervane scallop
EK1,2016-4-19,K04,22,JM,,99997,,,20.260,Unsorted catch and debris
EK1,2016-4-19,K04,22,JM,,68560,SF,1,0.005,Tanner crab
EK1,2016-4-19,K04,22,JM,,78020,,1,0.004,Octopus
EK1,2016-4-19,K04,22,JM,,441,,1,0.100,Longnose skate egg case
EK1,2016-4-19,K04,22,JM,3,74120,,1,0.150,Clapper
